text,sentiment
"I love this product!",4
"This is the worst thing ever.",0
"It was an okay experience.",2
"Absolutely fantastic!",4
"Not happy with this purchase.",1
"Totally disappointing.",0
"Decent, could be better.",2
"Really enjoyed using it.",3
"Worst quality I've seen.",0
"Just average, nothing special.",2
"Very nice and comfortable.",3
"Horrible and frustrating.",0
"Completely satisfied.",4
"Wouldn't recommend.",1
"I'm neutral about this.",2
"Amazing value for money.",4
"Bad experience overall.",1
"It's fine, does the job.",2
"Not worth the price.",1
"Excellent, exceeded expectations!",4
"I am very happy",4
